location_slug,location_name,threat_types,interval_count,total_duration_hours,geocode_status,query,latitude,longitude,osm_type,osm_id,place_class,place_type,importance,display_name,boundingbox,source
м_Пирятин_та_Пирятинська_територіальна_громада,м. Пирятин та Пирятинська територіальна громада,air_raid,4,10.106,ok,"Пирятин, Україна",50.2363032,32.5010494,relation,18328894,,town,0.48671857134003244,"Пирятин, Пирятинська міська громада, Лубенський район, Полтавська область, 37000-37004, Україна",50.2157765;50.2610910;32.4591692;32.5352799,OpenStreetMap Nominatim
Липецька_територіальна_громада,Липецька територіальна громада,artillery_shelling,2,10.086,ok,"Липецька, Україна",48.3395650,23.3546200,relation,13712259,,administrative,0.40238599906523964,"Липецька Поляна, Довжанська сільська громада, Хустський район, Закарпатська область, 90425, Україна",48.3100065;48.3496066;23.3507367;23.3736072,OpenStreetMap Nominatim
м_Суми_та_Сумська_територіальна_громада,м. Суми та Сумська територіальна громада,air_raid,10,9.111,ok,"Суми, Україна",50.9119775,34.8027723,relation,3678531,,city,0.5978645172306453,"Суми, Сумська міська громада, Сумський район, Сумська область, Україна",50.8368504;50.9637950;34.6910575;34.9180782,OpenStreetMap Nominatim
Лиманська_територіальна_громада,Лиманська територіальна громада,air_raid,20,9.098,ok,"Лиманська територіальна громада, Україна",48.9562856,37.8329232,way,385084332,,residential,0.0533890646219577,"Лиманська вулиця, Лиман, Лиманська міська громада, Краматорський район, Донецька область, 84404, Україна",48.9557232;48.9571953;37.8309469;37.8347864,OpenStreetMap Nominatim
м_Ватутіне_та_Ватутінська_територіальна_громада,м. Ватутіне та Ватутінська територіальна громада,air_raid,4,9.086,ok,"Ватутіне, Україна",49.0172494,31.0618502,relation,3747915,,administrative,0.45356092873116677,"Багачеве, Багачевська міська громада, Звенигородський район, Черкаська область, 20250, Україна",48.9876686;49.0348910;31.0246498;31.1127183,OpenStreetMap Nominatim
Вугледарська_територіальна_громада,Вугледарська територіальна громада,air_raid,9,8.837,ok,"Вугледарська територіальна громада, Україна",47.7775680,37.1987496,relation,13284398,,administrative,0.42780606201167765,"Вугледарська міська громада, Волноваський район, Донецька область, Україна",47.6220851;47.9333464;37.0383362;37.6086966,OpenStreetMap Nominatim
м_Черкаси_та_Черкаська_територіальна_громада,м. Черкаси та Черкаська територіальна громада,air_raid,10,8.245,ok,"Черкаси, Україна",49.1460165,31.2271744,relation,91278,,administrative,0.6403132053806465,"Черкаська область, Україна",48.4519816;50.2286322;29.6060329;32.8961836,OpenStreetMap Nominatim
м_Словянськ_та_Словянська_територіальна_громада,м. Слов'янськ та Слов'янська територіальна громада,air_raid,8,7.846,ok,"Слов'янськ, Україна",48.8522691,37.6058241,relation,3940400,,city,0.567898426087967,"Слов’янськ, Слов'янська міська громада, Краматорський район, Донецька область, 84100-84129, Україна",48.8056676;48.8955154;37.5088959;37.7192716,OpenStreetMap Nominatim
м_Бориспіль_та_Бориспільська_територіальна_громада,м. Бориспіль та Бориспільська територіальна громада,air_raid,6,7.662,ok,"Бориспіль, Україна",50.3512101,30.9507700,relation,1934961,,administrative,0.5261710527461642,"Бориспіль, Бориспільська міська громада, Бориспільський район, Київська область, Україна",50.3179493;50.4135951;30.8988547;31.0076319,OpenStreetMap Nominatim
Дергачівська_територіальна_громада,Дергачівська територіальна громада,artillery_shelling,7,7.636,ok,"Дергачівська, Україна",50.2274382,36.2380450,relation,12079093,,administrative,0.33399297642662173,"Дергачівська міська громада, Харківський район, Харківська область, Україна",50.0488796;50.4064123;35.9846082;36.3976745,OpenStreetMap Nominatim
м_Бровари_та_Броварська_територіальна_громада,м. Бровари та Броварська територіальна громада,air_raid,6,7.544,ok,"Бровари, Україна",50.5111168,30.7900482,relation,1929810,,administrative,0.5386399674958041,"Бровари, Броварська міська громада, Броварський район, Київська область, 07400, Україна",50.4823077;50.5370872;30.7376052;30.8648736,OpenStreetMap Nominatim
